元の番号,分類番号,単語,和訳,分類語源,一つ目の語源,一つ目の語源の長さ,二つ目の語源,二つ目の語源の長さ,三つ目の語源,三つ目の語源の長さ,参考,参考の長さ,,,,,,,,,,,,
219,24,bellicose,好戦的な,bell(戦争),bellicus(戦の),12,,0,,0,,0, militantです,,,,,,,,,,,
220,24,belligerent,交戦中の,bell(戦争),bellum(戦い),10,gerere(運ぶ),10,,0,原義はラテン語のbelligerare(戦争を行う)です。,29,,,,,,,,,,,,
221,24,rebel,反逆者,bell(戦争),re(反対),6,bellare(戦争を行う),14,,0,,0,,,,,,,,,,,,
222,24,rebellion,反乱,bell(戦争),re(反対),6,bellum(戦い),10,,0,,0,,,,,,,,,,,,
223,24,,,bell(戦争),,0,,0,,0,,0,,,,,,,,,,,,
224,25,benediction,祝祷,bene(善),bene(良い),8,dicere(話す),10,,0,原義はラテン語のbenedicere(褒める)です。,26,,,,,,,,,,,,
225,25,benefit,利益、給付金,bene(善),bene(良い),8,facere(行う),10,,0,原義はラテン語のbenefactum(良い行い)です。,27,同義語はmeritとadvantageです,,,,,,,,,,,
226,25,benefactor,寄付者,bene(善),bene(良い),8,facere(行う),10,,0,,0,,,,,,,,,,,,
227,25,benefice,聖職禄,bene(善),bene(良い),8,facere(行う),10,,0,原義はラテン語のbeneficium(好意)です。,25,,,,,,,,,,,,
228,25,beneficiary,受益者,bene(善),bene(良い),8,facere(行う),10,,0,,0,,,,,,,,,,,,
229,25,benevolent,優しい,bene(善),bene(良い),8,velle(願う),9,,0,,0,,,,,,,,,,,,
230,25,,,bene(善),,0,,0,,0,,0,,,,,,,,,,,,
231,26,bicycle,自転車,bi(２),bi(２),5,kyklos(車輪),10,,0,,0,,,,,,,,,,,,
232,26,biennial,二年生の,bi(２),bi(２),5,annus(年),8,,0,,0,,,,,,,,,,,,
233,26,bigamy,重婚,bi(２),bi(２),5,gamos(結婚),9,,0,,0,,,,,,,,,,,,
234,26,bilingual,二カ国語を使う,bi(２),bi(２),5,lingual(舌の),11,,0,,0,,,,,,,,,,,,
235,26,binary,二進法の,bi(２),binarius(二つから成る),16,,0,,0,,0,,,,,,,,,,,,
236,26,binoculars,双眼鏡,bi(２),bini(二つからなる),12,oculus(目),9,,0,,0,,,,,,,,,,,,
237,26,bipolar,双極性の,bi(２),bi(二),5,polar(極の),9,,0,,0,,,,,,,,,,,,
238,26,,,bi(２),,0,,0,,0,,0,,,,,,,,,,,,
239,27,biodegradable,生物分解可能な,bio(生きる),bio(生物),7,degrade(分解する),13,able(能力),8,,0,,,,,,,,,,,,
240,27,biography,伝記,bio(生きる),bio(命),6,graphia(記録),11,,0,,0,,,,,,,,,,,,
241,27,biohazard,生物的危険性,bio(生きる),bio(生物),7,hazard(危険),10,,0,,0,,,,,,,,,,,,
242,27,biology,生物学,bio(生きる),bio(生物),7,logy(学問),8,,0,,0,,,,,,,,,,,,
243,27,biomass,バイオマス,bio(生きる),bio(生物),7,mass(質量),8,,0,,0,,,,,,,,,,,,
244,27,biome,バイオーム,bio(生きる),bio(生物),7,ome(塊),6,,0,,0,,,,,,,,,,,,
245,27,bionics,生体工学,bio(生きる),bio(生物),7,ics(方法),7,,0,,0,,,,,,,,,,,,
246,27,biopsy,生体組織診断,bio(生きる),bio(生物),7,opsis(見ること),11,,0,,0,,,,,,,,,,,,
247,27,biosphere,生物圏,bio(生きる),bio(生物),7,sphere(球体),10,,0,,0,,,,,,,,,,,,
248,27,biotechnology,生物工学,bio(生きる),bio(生物),7,tekhne(技術),10,logy(学問),8,,0,,,,,,,,,,,,
249,27,,,bio(生きる),,0,,0,,0,,0,,,,,,,,,,,,
250,28,abbreviate,短縮する,brev(短い),ad(方向),6,breviare(短くする),14,,0,,0,,,,,,,,,,,,
251,28,abridge,要約する,brev(短い),ad(方向),6,breviare(短くする),14,,0,,0,,,,,,,,,,,,
252,28,brief,短い,brev(短い),brevis(短い),10,,0,,0,,0,,,,,,,,,,,,
253,28,briefing,事前説明,brev(短い),brief(仕事の指示),12,,0,,0,,0,,,,,,,,,,,,
254,28,briefcase,書類カバン,brev(短い),brief(訴訟の書類),12,case(箱),7,,0,,0,,,,,,,,,,,,
255,28,,,brev(短い),,0,,0,,0,,0,,,,,,,,,,,,
256,29,accident,事故,cad_cas(落ちる),ad(方向),6,cadere(落ちる),11,,0,原義はラテン語のaccidentum(出来事)です。,26,同義語はcrashです,,,,,,,,,,,
257,29,cadaver,死体,cad_cas(落ちる),cadare(落ちる),11,,0,,0,,0,,,,,,,,,,,,
258,29,cadence,声の調子、ペダルの回転数,cad_cas(落ちる),cadere(落ちる),11,,0,,0,,0,,,,,,,,,,,,
259,29,cascade,階段状の滝,cad_cas(落ちる),cadere(落ちる),11,,0,,0,原義はイタリア語のcascata(滝)です。,22,,,,,,,,,,,,
260,29,case,事例・状況,cad_cas(落ちる),cadere(落ちる),11,,0,,0,,0,,,,,,,,,,,,
261,29,casual,無頓着、カジュアルな、臨時の,cad_cas(落ちる),casualis(偶然に),13,,0,,0,,0,,,,,,,,,,,,
262,29,casualty,死傷者,cad_cas(落ちる),cadere(落ちる),11,,0,,0,原義はラテン語のcasualis(偶然により発生する)です。,30,,,,,,,,,,,,
263,29,chance,可能性、機会,cad_cas(落ちる),cadere(落ちる),11,,0,,0,,0,,,,,,,,,,,,
264,29,decadent,退廃的,cad_cas(落ちる),de(離れる),7,cadere(落ちる),11,,0,原義はラテン語のdecadere(腐る)です。,23,,,,,,,,,,,,
265,29,decay,腐敗する,cad_cas(落ちる),de(離れる),7,cadere(落ちる),11,,0,,0,,,,,,,,,,,,
266,29,incident,事件,cad_cas(落ちる),in(中へ),6,cadere(落ちる),11,,0,,0,,,,,,,,,,,,
267,29,occasion,時、機会,cad_cas(落ちる),ob(下),5,cadere(落ちる),11,,0,,0,,,,,,,,,,,,
268,29,,,cad_cas(落ちる),,0,,0,,0,,0,,,,,,,,,,,,
269,30,accent,訛り、アクセント,cant_cantus_cantare(歌う),ad(方向),6,cantus(歌),9,,0,原義はラテン語のaccentus(演説に付け加える歌)です。,30,,,,,,,,,,,,
270,30,cantabile,歌うように,cant_cantus_cantare(歌う),cant(歌う),8,,0,,0,,0,,,,,,,,,,,,
271,30,cantata,カンタータ,cant_cantus_cantare(歌う),cantare(歌う),11,,0,,0,原義はイタリア語の「歌われるもの」です。,20,,,,,,,,,,,,
272,30,chant,連呼する、お経を唱える,cant_cantus_cantare(歌う),cantare(歌う),11,,0,,0,,0,,,,,,,,,,,,
273,30,enchant,魅了する,cant_cantus_cantare(歌う),in(中),5,cantare(歌う),11,,0,,0,,,,,,,,,,,,
274,30,incentive,動機,cant_cantus_cantare(歌う),in(中),5,canare(歌う),10,,0,原義はラテン語のincenere(駆り立てる)です。,26,同義語はmotivationです,,,,,,,,,,,
275,30,,,cant_cantus_cantare(歌う),,0,,0,,0,,0,,,,,,,,,,,,
276,31,achieve,達成する,capit(頭),ad(方向),6,caput(頭),8,,0,,0,,,,,,,,,,,,
277,31,cap,帽子,capit(頭),caput(頭),8,,0,,0,,0,,,,,,,,,,,,
278,31,cape,岬,capit(頭),caput(頭),8,,0,,0,,0,,,,,,,,,,,,
279,31,capillary,毛細血管,capit(頭),capillaris(毛の),14,,0,,0,,0,,,,,,,,,,,,
280,31,capital,首都、資本金、大文字,capit(頭),capitalis(頭の),13,,0,,0,,0,,,,,,,,,,,,
281,31,capitalism,資本主義,capit(頭),capital(資本),11,ism(学説),7,,0,,0,,,,,,,,,,,,
282,31,capitulate,負けを認める,capit(頭),capitulum(小さい頭),15,,0,,0,,0,親は子どものわがままに屈してはいけません,政府や警察はテロリストの要求に折れることもあります,,,,,,,,,,
283,31,captain,船長,capit(頭),caput(頭),8,,0,,0,,0,船長は非常に強い権限を持っており、非常時には乗客に命令を出すこともできます,気象や海の状況に応じて船の進路を決めたり、出入港するときに船の指揮をとったりするのも、船長の仕事です,,,,,,,,,,
284,31,chapter,章,capit(頭),capitulum(小さい頭),15,,0,,0,,0,国語の授業では先生が生徒に教科書の一つの章を朗読させます,またchapterは法律用語としても使われます,Chapter１１はアメリカ合衆国連邦倒産法の第１１章を指します,アメリカの会社は倒産するときChapter１１を申請するのです,,,,,,,,
285,31,chef,シェフ,capit(頭),caput(頭),8,,0,,0,,0,,,,,,,,,,,,
286,31,chief,長,capit(頭),caput(頭),8,,0,,0,,0,,,,,,,,,,,,
287,31,decapitate,斬首する,capit(頭),de(離す),6,caput(頭),8,,0,,0,斬首刑は、罪人の頭部を刃物で切断する刑罰のことです,斬首刑は火刑や磔の刑に比べると苦痛が少ないので、比較的軽い刑罰でした,ただ執行人の腕が未熟だと、首を一撃で切断することができず、受刑者をいたずらに苦しめることになります,そこでジョセフ・ギヨタンの提言により、フランスでは死刑の方法としてギロチンを採用することにしました,ギロチンにより、受刑者を苦痛なく斬首することが可能になりました,,,,,,,
288,31,mischief,いたずら,capit(頭),mes(悪い),7,caput(頭),8,,0,,0, prankです,mischiefの例文を見てみましょう,親は公共の場で子供がいたずらをしないようにするべきです,子供がいたずらをするのは周囲の目を引くためと言われています,やんちゃな子供はいつもいたずらをしています,男の子は好きな女の子にいたずらをしたがるものです,mischievousはmischiefの形容詞形です,,,,,
289,31,precipitate,沈殿物,capit(頭),caput(頭),8,,0,,0,原義はラテン語のprarcipitare(真っ逆さまに落ちる)です。,34, sedimentです,沈殿物は、液体の底に溜まった固体物のことです,沈殿は溶液から物質を分離する方法として使われます,例えば塩水を熱すると、飽和度が上昇し、溶けきれなくなった塩が沈殿します,,,,,,,,
290,31,,,capit(頭),,0,,0,,0,,0,,,,,,,,,,,,
291,32,carnage,大量虐殺,carn_caro(肉),carnem(肉),9,,0,,0,,0,,,,,,,,,,,,
292,32,carnal,肉体の,carn_caro(肉),carnis(肉の),10,,0,,0,,0,,,,,,,,,,,,
293,32,carnation,カーネーション,carn_caro(肉),caro(肉),7,,0,,0,原義はラテン語のcarnationem(肉)です。,25,,,,,,,,,,,,
294,32,carnival,謝肉祭・カーニバル,carn_caro(肉),caro(肉),7,lavare(離れる),11,,0,原義はラテン語のcarne vale (肉よ、さらば！)です。,31,,,,,,,,,,,,
295,32,carnivore,肉食動物,carn_caro(肉),caro(肉),7,vorare(貪る),10,,0,,0,,,,,,,,,,,,
296,32,incarnation,受肉,carn_caro(肉),in(中),5,caro(肉),7,,0,原義はラテン語のincarnationem(受肉すること)です。,32,,,,,,,,,,,,
297,32,reincarnation,転生・輪廻,carn_caro(肉),re(再び),6,incarnation(受肉),15,,0,,0,,,,,,,,,,,,
298,32,,,carn_caro(肉),,0,,0,,0,,0,,,,,,,,,,,,
299,33,catacomb,地下墓地,cata(下),cata(周囲),8,tumba(墓),8,,0,,0,,,,,,,,,,,,
300,33,cataclysm,大変動,cata(下),kata(下),7,klyzein(洗う),11,,0,,0,,,,,,,,,,,,
301,33,catalog,カタログ,cata(下),kata(下),7,legein(数える),11,,0,原義はギリシャ語のkatalogos(記録表)です。,26,,,,,,,,,,,,
302,33,catalysis,触媒作用,cata(下),cata(下),7,lyein(緩める),10,,0,原義はギリシャ語のkatalysis(溶けること)です。,28,,,,,,,,,,,,
303,33,catapult,ぱちんこ、射出機、弩,cata(下),cata(貫通),8,pallein(投げる),12,,0,原義はラテン語のcatapulta(投石機)です。,25,,,,,,,,,,,,
304,33,cataract,白内障,cata(下),cata(下),7,rhattein(壊す),12,,0,原義はギリシャ語のkatarhaktes(滝)です。,26,,,,,,,,,,,,
305,33,catastrophe,大災害,cata(下),kata(下),7,strephein(回す),13,,0,原義はギリシャ語のkatastrophe(ひっくり返すこと)です。,33,同義語はdisasterです,,,,,,,,,,,
306,33,,,cata(下),,0,,0,,0,,0,,,,,,,,,,,,
307,34,cave,洞窟,cav_caven_cavare(空洞),cav(空洞),7,,0,,0,ラテン語のcavus(空洞の)に由来します。,22,caveの例文を見てみましょう,原始人はかつて洞窟で暮らしていました,一部の洞窟には洞窟画が残されています,洞窟魚の多くは盲目で、眼球が皮膚に埋もれています,やんちゃな子どもは海で洞窟探検をします,夏の暑い日には観光客は洞窟ツアーに参加します,鍾乳洞では氷柱のような形の鍾乳石を見ることができます,,,,,
308,34,cavity,空洞、虫歯,cav_caven_cavare(空洞),cavus(空洞),9,,0,,0,,0, pitです,cavityは医療分野の専門用語として使われます,人体には複数の穴があります,口腔は消化器官の先端に位置しており、食物を取り入れて分断する役割があります,鼻腔は人体の空気の通り道です,またcavity単体で,虫歯」を意味します,毎日歯を磨いている人は大抵虫歯がありません,虫歯があるなら、すぐに歯医者に行きましょう,虫歯が小さければ、治療は虫歯を詰めるだけですみます,cavityは建築の分野でも使われます,中空壁とは壁と壁のすき間の空間のことで、断熱材・配管・電線が入っています
309,34,concave,凹状（おうじょう）,cav_caven_cavare(空洞),con(強調),7,cavus(空洞),9,,0,原義はラテン語のconcavus(アーチ状)です。,25,対義語はconvex(凸状の)です,concaveという単語はレンズや鏡によく使われます,例えば凹レンズは近視用のメガネのレンズに使います,凹レンズには光を発散させる効果があり、近眼者の視力を調節します,ちなみに凸レンズはルーペや老眼鏡に使われます,また凹面鏡は拡大された鏡像を映し出すので、化粧鏡として使われています,,,,,,
310,34,excavate,発掘する,cav_caven_cavare(空洞),ex(外),5,cavare(掘る),10,,0,原義はラテン語のexcavare(掘り出す)です。,25,同義語はdig, make a hole, burrow, plowです,excavateは考古学でよく使われます,発掘は、研究のために地下に埋もれた化石や遺跡を掘り出すことで、考古学の基本的作業です,考古学者が恐竜の化石を発掘したら、大きなニュースになります,もちろんexcavateは他の文脈でも使えます,亀は土を掘って、穴の中に卵を入れます,油圧ショベルは土を掘るための建設機械です,,
311,34,,,cav_caven_cavare(空洞),,0,,0,,0,,0,,,,,,,,,,,,
312,35,accede,要求に応える、跡を継ぐ,ced_cedere(行く),ad(方向),6,cedere(動く),10,,0,,0,,,,,,,,,,,,
313,35,accessory,付属品、服飾品、従犯の,ced_cedere(行く),ad(方向),6,cedere(動く),10,,0,,0,,,,,,,,,,,,
314,35,cease,止める,ced_cedere(行く),cedere(立ち去る),12,,0,,0,,0, haltです,,,,,,,,,,,
315,35,cede,割譲する,ced_cedere(行く),cedere(諦める),11,,0,,0,,0,,,,,,,,,,,,
316,35,concede,認める,ced_cedere(行く),com(強調),7,cedere(譲る),10,,0,原義はラテン語のconcedere(諦める)です。,25,同義語はadmit, acknowledgeです,,,,,,,,,,
317,35,concession,譲歩,ced_cedere(行く),com(強調),7,cedere(譲る),10,,0,,0,同義語はcompromiseです,,,,,,,,,,,
318,35,exceed,超える,ced_cedere(行く),ex(外),5,cedere(行く),10,,0,,0,,,,,,,,,,,,
319,35,excess,余分,ced_cedere(行く),ex(外),5,cedere(行く),10,,0,,0,,,,,,,,,,,,
320,35,necessary,必要な,ced_cedere(行く),ne(否定),6,cedere(譲る),10,,0,,0,,,,,,,,,,,,
321,35,precede,先に起きる,ced_cedere(行く),prae(前),7,cedere(行く),10,,0,原義はラテン語のpraecedere(前にいく)です。,27,,,,,,,,,,,,
322,35,precedent,前例,ced_cedere(行く),prae(前),7,cedere(行く),10,,0,原義はラテン語のpraecedere(前にいく)です。,27,,,,,,,,,,,,
323,35,procedure,正しいやり方,ced_cedere(行く),proceed(進める),12,,0,,0,原義はフランス語のprocedure(進むための方法)です。,30,,,,,,,,,,,,
324,35,proceed,進める,ced_cedere(行く),pro(前),6,cedere(行く),10,,0,,0,,,,,,,,,,,,
325,35,process,過程、加工処理する,ced_cedere(行く),pro(前),6,cedere(行く),10,,0,ラテン語のprocedere(前に進む)に由来します。,27,,,,,,,,,,,,
326,35,recede,徐々に消える,ced_cedere(行く),re(後ろ),6,cedere(行く),10,,0,,0,,,,,,,,,,,,
327,35,recession,景気後退,ced_cedere(行く),recedere(後ろに下がる),16,,0,,0,,0,,,,,,,,,,,,
328,35,succeed,成功する、跡を継ぐ,ced_cedere(行く),sub(次),6,cedere(行く),10,,0,,0,,,,,,,,,,,,
329,35,success,成功,ced_cedere(行く),sub(次),6,cedere(行く),10,,0,,0,,,,,,,,,,,,
330,35,successive,連続の,ced_cedere(行く),succedere(後に来る),15,,0,,0,,0, straightです,,,,,,,,,,,
331,35,,,ced_cedere(行く),,0,,0,,0,,0,,,,,,,,,,,,
332,36,accelerate,加速する,celer_celerare(速める),ad(方向),6,celerare(速める),13,,0,,0,国の経済が不況に陥った場合は、公共投資を増やしたり減税を行ったりすることで、経済回復を促進できます(to accelerate the economy recovery),,,,,,,,,,,
333,36,accelerator,車のアクセル,celer_celerare(速める),ad(方向),6,celerare(速める),13,,0,,0,,,,,,,,,,,,
334,36,decelerate,減速する,celer_celerare(速める),de(反対),6,celerare(速める),13,,0,,0,,,,,,,,,,,,
335,36,,,celer_celerare(速める),,0,,0,,0,,0,,,,,,,,,,,,
336,37,cent,セント,cent_centi_centum(100),centum(百),9,,0,,0,,0,,,,,,,,,,,,
337,37,centigrade,摂氏,cent_centi_centum(100),centi(百),8,grade(段階),9,,0,,0,,,,,,,,,,,,
338,37,centimeter,センチメートル,cent_centi_centum(100),centum(百),9,metre(計測),9,,0,,0,,,,,,,,,,,,
339,37,centipede,ムカデ,cent_centi_centum(100),centum(百),9,ped(足),6,,0,,0,,,,,,,,,,,,
340,37,century,一世紀,cent_centi_centum(100),centum(百),9,,0,,0,,0,,,,,,,,,,,,
341,37,percent,パーセント,cent_centi_centum(100),per(通じて),8,centum(百),9,,0,原義はラテン語のper centum(100毎の)です。,28,,,,,,,,,,,,
342,37,percentage,パーセント,cent_centi_centum(100),age(名詞化の接尾辞),12,,0,,0,,0,,,,,,,,,,,,
343,37,percentile,パーセンタイル,cent_centi_centum(100),percent(百分率),12,ile(能力),7,,0,,0,,,,,,,,,,,,
344,37,,,cent_centi_centum(100),,0,,0,,0,,0,,,,,,,,,,,,
345,38,center,中心、センター,centrum_center(中心),centrum(中心),11,,0,,0,,0,,,,,,,,,,,,
346,38,centrifugal,遠心力の,centrum_center(中心),centrum(中心),11,fugere(逃げる),11,,0,,0,,,,,,,,,,,,
347,38,centrifuge,遠心機,centrum_center(中心),centrum(中心),11,fugere(逃げる),11,,0,,0,,,,,,,,,,,,
348,38,concentrate,集中する,centrum_center(中心),com(一緒),7,centrum(中心),11,,0,,0,,,,,,,,,,,,
349,38,eccentric,普通でない,centrum_center(中心),ek(外),5,kentron(中心),11,,0,,0,,,,,,,,,,,,
350,38,egocentric,自己中心的,centrum_center(中心),ego(私),6,kentron(中心),11,,0,,0, self-centeredです,,,,,,,,,,,
351,38,epicenter,震央,centrum_center(中心),epi(上),6,center(中心),10,,0,,0,震央は震源からの距離が最も近いので、多くの場合地震の被害を最も受けます,震央は地震学で使われる単語です,,,,,,,,,,
352,38,ethnocentrism,自民族中心主義,centrum_center(中心),ethno(民族),9,center(中心),10,,0,,0,,,,,,,,,,,,
353,38,,,centrum_center(中心),,0,,0,,0,,0,,,,,,,,,,,,
354,39,accept,受け取る,cept_ceive_capere(取る),ad(方向),6,capere(掴む),10,,0,,0,,,,,,,,,,,,
355,39,capable,能力がある,cept_ceive_capere(取る),capere(掴む),10,,0,,0,原義は後期ラテン語のcapabilis(掴むことができる)です。,32,,,,,,,,,,,,
356,39,capacity,収容能力,cept_ceive_capere(取る),capere(掴む),10,,0,,0,原義は中期フランス語のcapacite(掴むことができる)です。,32,,,,,,,,,,,,
357,39,caption,写真の説明文、字幕,cept_ceive_capere(取る),capere(掴む),10,,0,,0,,0,,,,,,,,,,,,
358,39,capture,捕まえる,cept_ceive_capere(取る),capere(捕まえる),12,,0,,0,,0, apprehendです,,,,,,,,,,,
359,39,conceive,想像する,cept_ceive_capere(取る),com(強調),7,capere(取る),10,,0,原義はラテン語のconcipere(妊娠する)です。,26,,,,,,,,,,,,
360,39,concept,概念,cept_ceive_capere(取る),com(強調),7,capere(取る),10,,0,,0,,,,,,,,,,,,
361,39,deceive,騙す,cept_ceive_capere(取る),de(離れる),7,capare(取る),10,,0,,0,,,,,,,,,,,,
362,39,except,除外して,cept_ceive_capere(取る),ex(外),5,capere(取る),10,,0,,0,,,,,,,,,,,,
363,39,intercept,止める,cept_ceive_capere(取る),inter(間),8,capere(取る),10,,0,,0,,,,,,,,,,,,
364,39,occupy,場所を使う,cept_ceive_capere(取る),ob(上),5,capere(取る),10,,0,原義はラテン語のoccupare(所有する)です。,25,同義語はstay, live, take upです,,,,,,,,,
365,39,participate,参加する,cept_ceive_capere(取る),partir(分ける),11,capere(取る),10,,0,,0,,,,,,,,,,,,
366,39,perceive,知覚する,cept_ceive_capere(取る),per(完全),7,capere(掴む),10,,0,,0,,,,,,,,,,,,
367,39,perception,考え方、感じ方,cept_ceive_capere(取る),per(完全),7,capere(掴む),10,,0,,0,,,,,,,,,,,,
368,39,receipt,領収書,cept_ceive_capere(取る),re(後ろ),6,capere(取る),10,,0,原義はラテン語のrecipere(取り戻す)です。,25,,,,,,,,,,,,
369,39,receive,受け取る,cept_ceive_capere(取る),re(後ろ),6,capere(取る),10,,0,,0,,,,,,,,,,,,
370,39,reception,歓迎、受付、歓迎会,cept_ceive_capere(取る),re(後ろ),6,capere(取る),10,,0,,0,,,,,,,,,,,,
